date_column,site,category,brand,model_name,product_title,price_egp,os,ram_gb,storage,screen_size_in,resolution,refresh_rate_hz,cpu_speed_ghz,connectivity_technology,cpu_model,color,wireless_carrier,cellular_technology,all_reviews,rate,discount,product_url,image_url,asin,batteries,model_number
9/16/2024,amazon_egy,mobile phones,samsung,s24 ultra,"samsung galaxy s24 ultra, ai phone, 256gb storage, titanium black, 12gb ram, android smartphone, 200mp camera, s pen, long battery life",47900,android,12 gb,256 gb,6.8 inches,1440 x 3120,492,1.8 ghz,wi-fi,qualcomm snapdragon s1 qsd8650,titanium black,cellular,,"[{'reviewer': 'george', 'rating': '5.0 ', 'date': 'reviewed in egypt on 13 september 2024', 'review': ""perfect and smart i liked but take care for heating and battery performance for first operating use it's normal to understand your lifestyle of beginning user.\nread more""}, {'reviewer': 'user-myqhgl', 'rating': '5.0 ', 'date': 'reviewed in egypt on 11 september 2024', 'review': 'very good and as described\nread more'}, {'reviewer': 'osama', 'rating': '1.0 ', 'date': 'reviewed in egypt on 4 august 2024', 'review': ""the display has terrible viewing angel color shifting, if you tilt the phone even 2 degres everything became bluish like it is almost a lcd (probably due to the anti reflective coating they used ) plus the phone overheats from almost anything opening gallery made it reach 47 .the s pen smells like burned plastic and it is quit noticable ....sent this trash back after one day and ordered oneplus 12 and i'm happy with it.\nread more""}, {'reviewer': 'mohamed s.', 'rating': '5.0 ', 'date': 'reviewed in egypt on 14 august 2024', 'review': 'الشاشة ممتازة .بطارية جيدة جدا\nread more'}, {'reviewer': 't m', 'rating': '4.0 ', 'date': 'reviewed in egypt on 28 february 2024', 'review': ""it's a great phone but absolutely humongous and a pain to carry or use with one hand, and i have big hands. i am coming from an s10 which has served me incredibly well for the past 5 years but i wanted a bigger screen because my sight isn't what it used to be. i was between the ultra and the plus and decided to go with the ultra for the snapdragon and the anti glare display, but now i regret not going with the regular 24 and saving 20k in the process. the gain in screen size, even compared to the standard s10, isn't that big of a deal and cannot justify the overall size and bulk.  i also hate the fact that they changed the ui navigation gestures, the new gestures are hit and miss but that applies to all s24 models.it was a good bundle deal from amazon though who generously threw in the original silicone case besides the galaxy buds fe and the free 2 year screen insurance samsung egypt offers early buyers. the free screen insurance is a little tricky to activate though. you need to log into your samsung members app, discover, tap the benefits tab and select the screen insurance, then manually register for it. the item listed here is the phone only, if you are trying to buy the bundle like i did, it's a different listing and will be clearly titled bundle. phone and accessories were delivered together the same day. delivery required a pin as with all high value items. all items were sealed as expected from amazon, and the phone's warranty card was wedged in the box as usual. this is only for your own assurance, since from experience, you don't need the card for warranty claims as samsung egypt can look up the local warranty information if any with the phone's serial number.if you know exactly what you are getting and have used a recent ultra or note phone, go right ahead, you will not be disappointed aside from the new navigation gestures if you use them instead of the buttons like me; but if you are on the fence and trying to decide which s24 model to buy, i suggest you see them in person first. i know i would choose differently if i did. the anti reflective screen glass on the ultra really works but it also diffuses the pixel light and makes the display look a little bit like an lcd backlit display not an oled. i really recommend you check out the phone in person first before dropping 66k on it. i am not happy with my purchase.\nread more""}]",4.1,,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Android-Smartphone/dp/B0CQZ22Q7L/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ESuG0wU7gFJe36ODf9jPQcWWTfE_f4dOgf9pJx-dydDicHbRRXRenBPbJoEkpshwfgln-uvrDfX6g-tdU7A0SWqrn85pauf4BF4s8UzrrZz1-DAVPZK6VYL9Vdok3Bfdu6CL17Tft14QoB-oOn0ZJPjhLo004GcAF9XStpo6VgAycVWkL1ZtZTMirmggps1TrtwkQ-YBi29pMBKu-9SsCqRP5rMRpk1P8QT6aerxxOCvMHD2JoKV-J7YIFgntrJcq06TJumD0PevKEKwakp5V-VisQc0WMX3OIArZ-qYjyU.Lhy0eu_NBwoLOnZEzLA8WM_SfjHxy8_Pxyj55xNY_OI&dib_tag=se&qid=1726502600&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-12,https://m.media-amazon.com/images/I/719HV2e6-sL.__AC_SY300_SX300_QL70_ML2_.jpg,b0cqz22q7l,,sm-s928bzkcmea
9/16/2024,amazon_egy,mobile phones,apple,14 plus,new apple iphone 14 plus (128 gb) - starlight,34990,ios,,128 gb,6.7 inches,1080 x 2400,,,"bluetooth, wi-fi, usb, nfc",a13,,unlocked for all carriers,5g,"[{'reviewer': 'azizbek sharobidinov', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 28 september 2023', 'review': 'fast and safe delivery, packing perfectly handled.\nread more'}, {'reviewer': 'rafik zakariya', 'rating': '4.0 ', 'date': 'reviewed in the united arab emirates on 24 december 2022', 'review': 'fair option for the price.\nread more'}, {'reviewer': 'allan l.', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 14 february 2023', 'review': 'fast delivery.  starlight is a. wonderful color.\nread more'}]",4.7,3,https://www.amazon.eg/-/en/New-Apple-iPhone-Plus-128/dp/B0BDJ59RRQ/ref=sr_1_83?dib=eyJ2IjoiMSJ9.yHKRFKgpIWA7FpQ_8Lr1e0Ov95xvpKR_9BDGFxCvz0dZNUcASMv4fZhnYFfrCcKkWLh7HzTGwd_JmJmYW25Uf2rx4KA9atcAY3pX8To-Sjtufd2YdscXPP7wRN3a1hPIrADBW5XDndQIvYM58CojUSvlvGxgJk41jmGfjoD4Rwv4jQY3qCYRzAj8mOsYDzv6vaSn-W4yz4t1QVZ_xqCGsUf_tYebbk_iV-MgbBWdNlK_hBtWA2NNFiBxGIxtWQPIZCbUsjdHktRYiJ_V9w_80PJDplWlEcIk8puqShB3mTc._x9Ytd0eCfiwJKRpLoLJyq4BTNzQxPIfSaOhLDvc4nU&dib_tag=se&qid=1726502646&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-83,https://m.media-amazon.com/images/I/51S9HOc4ULL.__AC_SX300_SY300_QL70_ML2_.jpg,b0bdj59rrq,1 lithium polymer batteries required. (included),mq4y3aa/a
9/16/2024,amazon_egy,mobile phones,xiaomi,redmi note 13,"xiaomi redmi note 13 (mint green 8gb ram, 256 storage) - super-clear 108mp triple camera |120hz fhd+amoled display | immersive viewing with ultra-thin bezels | secure in-screen fingerprint sensor",8650,android 13.0,8 gb,256 gb,6.67 inches,1080 x 2400,120,,,snapdragon,green,3,,"[{'reviewer': 'sofianamr', 'rating': '5.0 ', 'date': 'reviewed in egypt on 10 september 2024', 'review': 'ماشاء الله موبايل تحفه وسعر روعه والفاتوره باكلم خدمه العملاء بيبعتوها pdf بصراحه خدمه ممتازه\nread more'}, {'reviewer': 'aly hetemy', 'rating': '5.0 ', 'date': 'reviewed in egypt on 10 september 2024', 'review': 'ممتاز\nread more'}, {'reviewer': 'mohamed sherif', 'rating': '4.0 ', 'date': 'reviewed in egypt on 8 september 2024', 'review': 'الشبكة ليست افضل شي\nread more'}, {'reviewer': 'john', 'rating': '5.0 ', 'date': 'reviewed in egypt on 26 august 2024', 'review': 'منتج اصلي و جميل جدا ...و اللون الاخضر حلو جداهعمل review تاني بعد فترة استخدام 💯\nread more'}, {'reviewer': 'khaled ali', 'rating': '1.0 ', 'date': 'reviewed in egypt on 13 august 2024', 'review': 'الشاشة باظت بعد شهر من الاستخدام\nread more'}]",4.1,4,https://www.amazon.eg/-/en/Xiaomi-Redmi-Green-Storage-screen/dp/B0CQKDDCVK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ESuG0wU7gFJe36ODf9jPQcWWTfE_f4dOgf9pJx-dydDicHbRRXRenBPbJoEkpshwfgln-uvrDfX6g-tdU7A0SWqrn85pauf4BF4s8UzrrZz1-DAVPZK6VYL9Vdok3Bfdu6CL17Tft14QoB-oOn0ZJPjhLo004GcAF9XStpo6VgAycVWkL1ZtZTMirmggps1TrtwkQ-YBi29pMBKu-9SsCqRP5rMRpk1P8QT6aerxxOCvMHD2JoKV-J7YIFgntrJcq06TJumD0PevKEKwakp5V-VisQc0WMX3OIArZ-qYjyU.Lhy0eu_NBwoLOnZEzLA8WM_SfjHxy8_Pxyj55xNY_OI&dib_tag=se&qid=1726502600&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-13,https://m.media-amazon.com/images/I/51Q+-U8vAVL._AC_SY300_SX300_.jpg,b0cqkddcvk,1 lithium polymer batteries required.,n7
9/16/2024,amazon_egy,mobile phones,honor,x7b,honor x7b 6-256 green,8690,android 13.0,6 gb,256 gb,,,120,,usb,snapdragon,,china mobile,4g,[],,,https://www.amazon.eg/-/en/HONOR-6936520833290-Honor-6-256-GREEN/dp/B0CVHDLD4P/ref=sr_1_135?dib=eyJ2IjoiMSJ9.iougLSfZdjhK9FhM3jNBxcA0y45gtbJL_ZpfOx17BWTufTDmWSIuIxGjrxetvS5FTHh588ZlAzhdH0IiIzMpbczkSHjbDTtOuVWs32DoVBqUGSXPz4S4V8bejx7QlXZnLAQfXBfvJ-V1Qil8JL8Uj2hNuDX15wLIznuZnl-Z_7ygIqkaWLLvsYeE0jejxvjTGK0WWGp70-FnbCqJ4p79K2p1GW3d2d4u31VLC84LXRYI2gh5GfH4xSIaVS80u_sOqQ83-X2ewLwiprPHHjyoZGbW_nWtgfzrw9yKGdXD7sQ.hY8jzW8sl3JQfanr535b7JaInStZ44S0ad1o_TYWHeA&dib_tag=se&qid=1726502652&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-135,https://m.media-amazon.com/images/I/51ykLhmalQL.__AC_SX300_SY300_QL70_ML2_.jpg,b0cvhdld4p,,6.93652E+12
9/16/2024,amazon_egy,mobile phones,xiaomi,redmi note 13 pro,"redmi note 13 pro (midnight black 12gb ram, 512 storage) - ultra-clear 200mp camera with ois |120hz fhd+amoled display | immersive viewing with ultra-thin bezels | 67w turbo charging",15850,android 11.0,12 gb,512 gb,6.67 inches,,,2.05 ghz,wi-fi,snapdragon,black,3,,"[{'reviewer': 'carlos torres torres', 'rating': '5.0 ', 'date': 'reviewed in mexico on 12 april 2024', 'review': 'estuve buscando uno que estrictamente tuviera la nom, para evitar los bloqueos de imei y clonaciones, etc.este cuenta con ella y hasta ahora no ha fallado, veremos en 1 mes que tal.viene con un cargador para auto de buena calidad y una funda de silicón, se agradece, además llegó en 4 días.contras encontrados:- no puedo desactivar el sensor de proximidad, y yo quiero escuchar los audios de whatsapp sin que se de apague la pantalla y baje el volumen.- a veces, cuando le marco a alguien, la bocina baja y sube el volumen repetidas veces, creo que es por lo mismo del sensor de proximidad.\nread more'}, {'reviewer': 'selim sırrı göktürk', 'rating': '5.0 ', 'date': 'reviewed in turkey on 13 july 2024', 'review': ""telefon 5 g değilama fiyatida ona göre ucuzduve orijinal sıkıntı yokamazon'a teşekkür ederim\nread more""}, {'reviewer': 'natasha freire', 'rating': '5.0 ', 'date': 'reviewed in the united states on 15 august 2024', 'review': 'recomendado\nread more'}, {'reviewer': 'alejandra', 'rating': '4.0 ', 'date': 'reviewed in mexico on 23 july 2024', 'review': 'todo lo xiaomi sale bien\nread more'}, {'reviewer': 'isabelle', 'rating': '2.0 ', 'date': 'reviewed in france on 22 august 2024', 'review': ""toujours qq.bugs.... je vais changer de marque à l'avenir\nread more""}]",4,,https://www.amazon.eg/-/en/Redmi-Note-Midnight-Black-Storage/dp/B0CQKDBVT8/ref=sr_1_161?dib=eyJ2IjoiMSJ9.tko8oVB9Y7zau6Nlv7xA3F9-ITxHeByBvLJAn6zLmTrhxzS2LynHFZlpdkWiNzd9Aze4D2jKV0BjTLQq9HEVcTVCBjaFBwAKtxLWrsRuANPLn4wyseyfY9YTiGHO7jfSpSTS5s1qqgy3krLRt2bZ_h2LZSEWd5spzkr-BiljItSdEbwftamJuKzoQ7t-txExu2RZLmLNVHsFjTKfkbkXNKwJzplFS4ILz8CwLFHq-SROPkVZe-KurUOWGpN-Au8PXmHqPhC1YGeYXxfCUDvClYKJfl5NFmS8NFSoqItI4WI.LcGUNWfGc8i5BGezUSF9jeY50NJweKpnIO48XlZ7ohI&dib_tag=se&qid=1726502654&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-161,https://m.media-amazon.com/images/I/51hrgXBsTaL.__AC_SX300_SY300_QL70_ML2_.jpg,b0cqkdbvt8,1 lithium polymer batteries required. (included),n6
9/16/2024,amazon_egy,mobile phones,apple,15,apple iphone 15 (128 gb) - blue,38350,ios 15,,128 gb,6.1 inches,,120,2 ghz,,a13,,unlocked for all carriers,4g,"[{'reviewer': 'wafaa', 'rating': '5.0 ', 'date': 'reviewed in egypt on 1 june 2024', 'review': 'حلو\nread more'}, {'reviewer': 'mohamed hamdy', 'rating': '1.0 ', 'date': 'reviewed in egypt on 1 august 2024', 'review': 'إستخفاف بالعميل في زمن التوصيل و حل المشاكل\nread more'}, {'reviewer': 'no one', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 11 july 2024', 'review': 'overall great phone with great battery\nread more'}, {'reviewer': 'catherine rossiter', 'rating': '1.0 ', 'date': 'reviewed in the united arab emirates on 16 may 2024', 'review': 'iphone message stated unable to set up new account as had been done too many times on the phone already. so i returned which was difficult as had to convince the driver that the phone was blue as the back is white. stressful.\nread more'}, {'reviewer': 'sajjad tehrani', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 10 july 2024', 'review': 'i bought 3 phone from amazon which amazon is the seller and all the times with no issue.good to go.thanks\nread more'}]",4.2,4,https://www.amazon.eg/-/en/Apple-iPhone-15-128-GB/dp/B0CHX1KLV5/ref=sr_1_25?dib=eyJ2IjoiMSJ9.CT47HzzsameEhv4VG9ziCNr83B385B18XUc79KTKALyzxZRTPFV4hS8eFc2n6poBjtS054damKztM0jkPz2z5X2kv1GDujxgfXnV_ZZIV-XhrovRg0OfINSBhtc1cbRoOvMoJnQxt2etlKYhVcJpcFo0MCbUUEgl-UCEDvzVQZexKCVIRFBlklmOuFgDaUT2znzZDkTQKjbWIKjaTHoqDBp3Ym4v8IwkPDH2Xamrhd1VRRTFJqAXY_3ZTMOnMhkeaDVdS42jeCFeDvlkU0pHYPDsxKg18Cg8hlQjfZTJtWc.NxmovNhoQhoz2TzjDWoOAeKnSjhuOXDnxWoOn97QVqA&dib_tag=se&qid=1726502604&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-25,https://m.media-amazon.com/images/I/71k38LlSqML.__AC_SX300_SY300_QL70_ML2_.jpg,b0chx1klv5,1 lithium ion batteries required. (included),mtp43aa/a
9/16/2024,amazon_egy,mobile phones,samsung,s24 ultra,"samsung galaxy s24 ultra, ai phone, 512gb storage, titanium gray, 12gb ram, android smartphone, 200mp camera, s pen, long battery life",55450,android,12 gb,512 gb,6.8 inches,1440 x 3120,492,,wi-fi,snapdragon,titanium gray,unlocked for all carriers,,"[{'reviewer': 'ashraf b.', 'rating': '5.0 ', 'date': 'reviewed in egypt on 28 august 2024', 'review': 'لم أحصل على الفاتورة الألكترونية\nread more'}, {'reviewer': 'mohamed hatem', 'rating': '5.0 ', 'date': 'reviewed in egypt on 22 july 2024', 'review': 'جبته ف  prime dayكان عامل ٥٠ ألفطبعا التلفون كان نازل ب ١٦٠٠ دولار من ٦ شهور للنسخة النص تيرا ف كون انه يبقى ب ألف دولار تقريبا دى صفقة هايلةأول مرة أشترى تلفون من أمازون بس بصراحة بعد التجربة بعد كده هشترى كل تلفونات من أمازونتغليف كويس والعلبة مفهاش خربوش ومعاه ضمان سنةكنت متخوف بصراحة فى الأول قبل ما أشترى بس عشان المبلغ كبيربس ف النهاية تجربة الشراء هالةبعد استعمال أسبوع أرشح الفون وبشدة\nread more'}, {'reviewer': 'محب', 'rating': '5.0 ', 'date': 'reviewed in egypt on 27 july 2024', 'review': 'ممتاز\nread more'}, {'reviewer': 'nas', 'rating': '5.0 ', 'date': 'reviewed in egypt on 8 june 2024', 'review': 'this review after 2 weeks of use. i bought it directly from amazon and seller were amazon is self as well. the samsung s24 ultra 512 12 ram arrived exactly as you get it from samsung branch itself with sealed phone box even better for several protection around the main box itself. in matter of beauty, were the most beautiful package for a phone with total care during arrival. phone functionality work perfectly and all android services are active. i will advise my family members to buy phones from seller amazon after what i seen during this phone purchase.thanks a lot amazon and keep it up for upcoming 2025 samsung and iphones as well.\nread more'}, {'reviewer': 'sherif', 'rating': '2.0 ', 'date': 'reviewed in egypt on 20 july 2024', 'review': ""there is a global problem in all s24 ultra using the finger print with screen protector.i tried 4 brands of screen protector with no use .it's a real issue having the finger print not working i can't evenake use of samsung pass itself.great failure from samsung that seems won't be resolved soon and may be ever\nread more""}]",4.3,26,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Android-Smartphone/dp/B0CQZ1562C/ref=sr_1_106?dib=eyJ2IjoiMSJ9.72nOmjVp3ctLRcelfnhgQxYabDfFN55_ZanMTnGMm4KYIp2xqHBZ_OilDNsqYyMrJFvGe9ehix7LNrhd50CDaaNDno6efFG7C_mnXHZV3pnPh5qk7R0-rW8LGfx4kRY5AfLfAC4edwfWbnFsGVTsFmKlVlkLWOltIQW00orHgYE6VGg0HrNBlywF3DoPgNX_GCyiBk1xVmOXzrMegCtSTZZNHzMGdD6oqbbcP6uX89rdfvW570z4jbDi3PzfpzoB75upa320P32UyGr8zwt8GirWzAzuQwIrUweP_1rW62s.NeZQ6AXXEkFypzsPphuOt5TlaQklP1_Xasqo3n_-rGE&dib_tag=se&qid=1726502650&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-106,https://m.media-amazon.com/images/I/713icYPjIZL.__AC_SY300_SX300_QL70_ML2_.jpg,b0cqz1562c,,sm-s928bq
9/16/2024,amazon_egy,mobile phones,realme,c65 4g,realme c65 4g 6gb ram + 128gb – gold,7999,android,6gb,128gb,,,,,,,,,,[],,,https://www.amazon.eg/-/en/Realme-C65-6GB-RAM-128GB/dp/B0D6HXKJR3/ref=sr_1_242?dib=eyJ2IjoiMSJ9.RPPTBu92dkLV7mNVHjguz9iNP9xdxGEd3i3pagq-FEg7fDnvio1yG4BHLAupWPgsXfuzptH6YCZSdwfxczShJjF2-KUFz6bMaohngl2cgw2gXNTRV4BztBJ0oVzVhK8qTvBkJy7keBi7dWleEXJ3XqZxKgKMExAU6dqEtiStXpCEJYXHuw2fYowuv4b7B87MoLvJbPsCHEBo2RfoyAGiBA.VSjgVKfT4qb19mXjHq7ZyurcXI48w53tBEH1e5kA2Cw&dib_tag=se&qid=1726502665&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-242,https://m.media-amazon.com/images/I/51mJthLzsOL.__AC_SX300_SY300_QL70_ML2_.jpg,b0d6hxkjr3,,
9/16/2024,amazon_egy,mobile phones,samsung,z fold,samsung galaxy z fold 5 dual sim phantom black 12gb ram 256gb 5g - middle east version,56999,android 13.0,12 gb,256 gb,7.6 inches,,120,,bluetooth,snapdragon,,,5g,"[{'reviewer': 'asmaumanfal', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 20 june 2024', 'review': 'اصلي وصلب انصح به\nread more'}, {'reviewer': ""darius d'silva"", 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 23 december 2023', 'review': 'everything is awesome about this phone and version except for the samsung care you have to activate it from a service center. cannot be done by oneself on the device.otherwise if you take care of your phone..and do not need samsung care then this is an awesome phone.\nread more'}, {'reviewer': 'fouad ahmed naseer', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 23 october 2023', 'review': 'great phone as expected 👏.good price as compared to other options available.just a bit of clarification on warranty would have been better.if you buy from samsung directly they offer 2 years samsung care +.however the price is unbeatable here.\nread more'}, {'reviewer': 'greg', 'rating': '4.0 ', 'date': 'reviewed in the united arab emirates on 17 december 2023', 'review': 'i like this product\nread more'}, {'reviewer': 'shady', 'rating': '1.0 ', 'date': 'reviewed in the united arab emirates on 25 november 2023', 'review': 'this is international version\nread more'}]",4.3,,https://www.amazon.eg/-/en/Samsung-Galaxy-Phantom-Black-256GB/dp/B0CDLRWZTL/ref=sr_1_229?dib=eyJ2IjoiMSJ9.fkG7xqACeHa3VkT_X2Jfb20fRYOWV2XltkfeAsB9oaVMDUjSYJnI0JDRA-OxMmyJ2TpZilNs_wYvemJ5DLJ6ziwWH0ZYEpiYBJi6nvV2Z8saiJpky6UErDmNCKTRfrKR8G_xoFr1mKkTXfGTJG6GSWzZ8i9L7yfYLZmUCZuDqkDa5mg4vKLpAPdpj62w2MKZW6QhEjUb4B6zvieOixEBxvboMfMffHI9f_8QOavWIjq7VPYnG4-H3yPQK6f0SfFVjr11UYlqxN91xxNcUuL0aiL_225uTGe9vcpX8GETdKs.bvSb5eDKil8HB6pvt6P7sioH5nshGfB8zA395cCVTFM&dib_tag=se&qid=1726502663&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-229,https://m.media-amazon.com/images/I/61r6gHlBHSL.__AC_SX300_SY300_QL70_ML2_.jpg,b0cdlrwztl,,
9/16/2024,amazon_egy,mobile phones,realme,12 pro plus,realme 12 pro+ 5g dual sim 12gb ram 512gb - middle east version (navigator beige),,android 12.0,12 gb,512 gb,6.7 inches,,60,1.8 ghz,,snapdragon,,unlocked for all carriers,,"[{'reviewer': 'user-mxkrcs1', 'rating': '1.0 ', 'date': 'reviewed in egypt on 8 august 2024', 'review': 'طلبت ال 12 برو بلس .. ووصلني 12 برو بس!!!!!!!!!!!!\nread more'}, {'reviewer': 'sajo asok', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 5 march 2024', 'review': ""it's an excellent phone. camera, design, performance, stereo speakers etc.. are really good for this price. thanks realme...\nread more""}]",3.4,,https://www.amazon.eg/-/en/realme-Pro-Dual-12GB-512GB/dp/B0CTZW6XGC/ref=sr_1_97?dib=eyJ2IjoiMSJ9.72nOmjVp3ctLRcelfnhgQxYabDfFN55_ZanMTnGMm4KYIp2xqHBZ_OilDNsqYyMrJFvGe9ehix7LNrhd50CDaaNDno6efFG7C_mnXHZV3pnPh5qk7R0-rW8LGfx4kRY5AfLfAC4edwfWbnFsGVTsFmKlVlkLWOltIQW00orHgYE6VGg0HrNBlywF3DoPgNX_GCyiBk1xVmOXzrMegCtSTZZNHzMGdD6oqbbcP6uX89rdfvW570z4jbDi3PzfpzoB75upa320P32UyGr8zwt8GirWzAzuQwIrUweP_1rW62s.NeZQ6AXXEkFypzsPphuOt5TlaQklP1_Xasqo3n_-rGE&dib_tag=se&qid=1726502650&refinements=p_123%3A110955%7C1500397%7C329744%7C338933%7C339703%7C367594%7C380758%7C46655%7C559198%7C568349&rnid=91049076031&s=electronics&sr=1-97,https://m.media-amazon.com/images/I/819TByLAOZL.__AC_SX300_SY300_QL70_ML2_.jpg,b0ctzw6xgc,1 lithium polymer batteries required. (included),1.30011E+11
